cocnumber,dem_soc_singparent_acs5yr,dem_soc_vet_acs5yr,dem_soc_ed_bach_acs5yr,ratio_white_population_to_total_population,ratio_black_population_to_total_population,ratio_asian_population_to_total_population,ratio_other_population_to_total_population ,ratio_hispanic_population_to_total_population,env_wea_avgtemp_summer_noaa,env_wea_precip_annual_noaa,env_wea_precip_noaa,d_env_wea_avgtemp_noaa,giniHouseholds,totalUnemployed,medianIncome,povertyRate,median_rent,rental_vacancy_rate,utility_costs,econ_sn_cashasst_acs5yr_2017,econ_sn_eitc_irs_share,hou_mkt_homeage1940_acs5yr_2017,hou_pol_hudunit_psh_hud_share,totHLess,hou_mkt_burden_sev_rent_acs_diff
TX-624,0.23915647,0.12729479,0.186671413,0.737075958,0.055681593,0.010930949,0.01466595,0.174070347,84.24413586,31.22762108,1.546405693,1.153743744,0.448274669,9046.5,45.47177913,15.0924629,522.4164429,0.095194153,199.4825363,1.770564914,21.55886214,9.949969292,3.152445346,255.25,0.855796039
TX-700,0.261751845,0.069727827,0.314249218,0.360252753,0.17373509,0.075080185,0.012448008,0.375722252,84.37832928,47.49502087,3.797805399,4.598823547,0.484029242,169770.625,58.17091564,15.95338047,771.0989075,0.099336684,165.3513642,1.435292006,21.9653808,2.438532352,1.965836599,5742.25,-0.281251967
TX-701,0.287003979,0.095203809,0.304184198,0.601223552,0.117256222,0.036672799,0.012280669,0.228989853,84.24228668,40.32227612,3.508849412,3.503105164,0.501240674,8382.375,40.63604029,22.57940769,584.2809449,0.078259923,178.2234421,1.786239624,21.48396683,3.708797216,2.73867473,200,-3.03516674
UT-500,0.170096748,0.073713105,0.319905728,0.733290137,0.01506023,0.035806116,0.019391493,0.174666448,70.52916622,22.06875014,2.061250016,5.470001221,0.43025,28970,60.8415,11.95275032,799.5,0.051145301,111,1.718806624,16.24962303,8.569700241,2.372159511,2107.625,-1.143492699
UT-503,0.15008723,0.103470039,0.271228954,0.836642176,0.008366209,0.012445216,0.016501379,0.106403705,69.51310539,21.02243567,2.223652795,4.058429718,0.399515588,31724,57.26076066,11.75604284,676.820282,0.064485725,122.3632088,2.129518032,17.5953113,7.470754623,1.6137494,802.5,0.076469779
UT-504,0.096079189,0.064017266,0.380226493,0.839377305,0.00521795,0.014364432,0.018465279,0.110856416,66.7094698,19.42997813,1.94934772,4.371433258,0.418016586,13716.5,62.23141218,12.56663263,779.1393128,0.044541609,109.9519463,1.568251252,16.35882487,5.165136814,1.215802297,212.75,-1.6293571
VA-500,0.298024014,0.109513331,0.386309341,0.597436741,0.284338678,0.040017252,0.018297096,0.056172117,76.96218491,46.96822262,3.51224266,0.784378052,0.444169912,32635.875,62.44466246,11.3135196,849.987854,0.060983207,161.181839,1.781377435,16.32462011,9.011662483,3.730149478,874.75,2.359657049
VA-501,0.345923752,0.183030769,0.280623585,0.527841963,0.362149077,0.027398147,0.025089301,0.053008768,78.11323452,50.81424284,3.30241248,1.415843964,0.434474346,19343.25,55.3938233,13.43622315,820.4292603,0.058535205,186.4062195,3.0852108,21.96576282,8.854600906,6.097969174,682.125,0.772672892
VA-502,0.296340764,0.120155752,0.286529794,0.791197953,0.13460604,0.021022443,0.017003893,0.033899103,73.97566128,46.37023878,3.175093129,0.830692291,0.431762811,8379.375,49.8427619,12.94756162,620.0101624,0.062293956,140.5821763,2.418689966,18.16118922,14.12703514,4.363267541,432.75,0.448538363
VA-503,0.269106999,0.208776265,0.341198131,0.637133405,0.190343095,0.063277605,0.032036562,0.072848882,78.13416672,50.19875002,3.305000007,1.780002594,0.40785,12258.25,64.496375,8.199162304,1057,0.044957865,167.5,1.847064853,17.12545177,1.123527646,1.860781401,429.625,0.223307312
